제목,URL,본문,댓글개수
공통 2틀 미적 4틀 77점 6모몇등급이죠,https://cafe.naver.com/f-e/cafes/10197921/articles/28882407?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=37,아는분,6
요런 문제는 안나오나요??,https://cafe.naver.com/f-e/cafes/10197921/articles/28882201?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,현우진T왈없애진 형태지만~풀어봅시다 하시는데24학년도 출제인데..안나와요??,6
확통런 하겠다는 아이,https://cafe.naver.com/f-e/cafes/10197921/articles/28882132?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,고3 미적 기말고사 보고오자마자.....수능은 확통으로 본다는 아이..냅둬야 하는거죠??ㅠㅠ6모도 미적4등급 결과 나오자마자 바로 수능 확통런한다고 하니..본인이 공부하는거라 말릴수도..잡을수도 없는 엄마의 마음은.....지구밖으로 우주런하고 싶네요,0
이과 6모 성적,https://cafe.naver.com/f-e/cafes/10197921/articles/28881812?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,이정도면 간호학과 어디정도 갈수 있을까요?간호학과 말고는 공대간다면 어느 학교 라인정도 갈수 있을까요?2호선 라인 갈수 있나요?,6
화학 선택자수 실화입니까(본인 커리 공유),https://cafe.naver.com/f-e/cafes/10197921/articles/28881760?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,본인 탐구:화학1 생명1​화학 선택자 21000명 실화입니까…진짜 인원 너무 많이 빠졌네요 ㅠ 올해는 불수능 거의 확정이라 봐야겠죠? 솔직히 화학 좋아서 하고 있는데 이정도 인원수 감안하면 23수능 다시 나와도 1컷 47 뚫릴 판인데…진짜 미친듯이 열심히 해야겠네요​(참고:본인 화학 공부 컨텐츠)저는 4월부터 본격적으로 화학 문제풀이 시작했습니다. 그 전까진 정훈구T 개념강의 2회독 했습니다.​6평 이전 풀었던 컨텐츠: 2025 OWL PRESSURES AIR/PRO2025 OWL OASIS 12회분2025 PANORAMA 시즌1 5회분2025 Helios Season 1 3회분2025 Quel 모의고사 3회분2026 베테랑 실전모의 2회분2026 정훈구 실전모의 시즌1 4회분2026 정훈구 S9S2026 고석용 CNR특강​6평 이후 풀었던 컨텐츠:2026 ORION Calopus Pt1/22025 Helios Season 2 3회분2025 PANORAMA 시즌2 5회분2026 김준 44모 10회분2025 강대K+ 9회분2026 정훈구T 홀인원 하프모고​ 현재 풀고있는 컨텐츠:2026 김준 시그모 시즌1 4회분2025 Helios Season 3 3회분2025 김강민T 실모(중고로구함)​파이널 대비 현강(수강예정):정훈구T 파이널 모의고사시대인재 강준호T대인라 강대K 우승석T​컨텐츠별 난이도 궁금하신분은 댓글 남겨주시면 답변 남겨드릴께요​​​​,6
화학 어려운 문제,https://cafe.naver.com/f-e/cafes/10197921/articles/28881615?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,화학1 진짜 어려운 문제 모음집 없나 과외생이 어려운거 풀고싶어함 한문제에 15~20걸려도 좋음,6
방학 한달간 할 수학 커리평가 부탁드립니다,https://cafe.naver.com/f-e/cafes/10197921/articles/28881572?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"고2이고 수학 6모 3등급 받았습니닷...​수2 시발점을 한달동안 할거고.. 수1 김기현선생님 가출생각집 2,3점을 짬날때마다 풀어보면서 수1 까먹지 않게 공부하려고하는데 어떤가요? 한달안에 할 수 있을까요?(+ 국어 4등급노배인데 인강추천해주세요ㅜㅜ 강기본을 들어봤는데 저랑 안맞는거같아서 뭘들어야할지...ㅜㅜ)",6
수학 안정1 받으려면 어떻게해야하나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28881169?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"지금 고1인데3모 공부안해서 66점 3등급6모 1컷80점과 한문제차이로 76점 2등급이에요아예 28,29,30같은 고난도문제는 손도못대고중간중간 10번대 후반, 20번대의 고난도문제도 손못대는게 많아요그거빼고는 다 풀어요 3점짜리도 다 빨리빨리 완벽하게 풀수있고요 학원으로 개념은 다 잡혔어요​내신은 5등급제기준중간 안정 1등급인데 기말은 2뜰거같고요일단 내신도 중요하지만 내신은 학원에서 해주기때문에 따로 모고/수능쪽 공부를 하고싶은데아마 9모때는 6모보다 더 떨어질것같거든요..​가고싶은 대학이 이과에 22개정으로 정시필수라 수학이 무조건 1떠야해요ㅠㅠ구체적으로 어떤식으로 공부해야할까요? 그리고 모고/정시용 문제집도 있으면 추천해주세요오답노트는 매일쓰고있어요​또 이런질문 할때마다 기출분석하라는 말이 공통적으로 보이는데 어떻게 하는건지도 모르겠어요 구체적으로 어떻게해야할지 감도안잡혀요ㅠㅠ​​",0
지금 물1에서 지1으로 변경해서 1등급 가능할까요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28881055?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"​올해 물13월 모고 485월 506월 45 받았습니다.​이번 6평은 45점으로 3등급 백분위 85가 나왔어요 ㅜㅜ물1 백분위가 너무 처참한데,지1으로 바꿔서(노베에요...내신도 안함)진짜 열심히 시간투자해서 1등급이 가능할까요?​물1을 그래도 끌고 가야하는 건지,(50점 만점만이 살길 ㅡ 만점도 백분위 98이에요)지구로 변경해서 백분위라도 잡아야 하는 건지너무 고민입니다.​다른 과목은 그래도 안정적으로 나옵니다.​선택과목의 유불리 정말 미치겠습니다.​어떻게 하면 좋을까요? ㅜㅜ",6
고2 조언좀,https://cafe.naver.com/f-e/cafes/10197921/articles/28880999?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,현재 고2이고 1학년 내신 2.0이었는데제가 연세대나 성균관대 진짜 가고싶거든요근데 이 성적으로는 앞으로 1.0 찍는다고 해도 힘들잖아요그래서 이번에 시험 진짜 잘보려고 울면서 공부했는데수학 최종 3 뜰거같아요내신 시험 볼때마다 잘본애들 점수 여기저기서 들리고 누구는 3주전부터 공부해서 받은 점수를 누구는 벼락치기 이틀 해서 받는게 너무 스트레스받아요꿈도 명확히 없는데 생기부 채우는것도 너무 힘들어요그냥 정시로 틀고싶어요 수시의 이런 점들이 온통 스트레스에요근데 막상 정시로 틀려니까 두렵고...저 어떡하죠? 어제 영어 100점 맞아서 행복했는데흥진비래인가봐요정말 현실적인 얘기 좀 들려주세요,6
과기원,https://cafe.naver.com/f-e/cafes/10197921/articles/28880747?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,저는 과기원을 희망하고 있는데 이번에 1학년 1학기 내신이 12211이 나왔는데 불가능할까요..?,6
고2 정시 이훈식t,https://cafe.naver.com/f-e/cafes/10197921/articles/28880692?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,이번 기말까지만 그냥 준비햇던거 좀 해보고 정시 준비 하고 싶은데 지구1 대성 이훈식t 개념으로 괜찮나요? 아직 선행은 안 나갔어요 정시 노베 준비로 개념 완자가 낫나요 그냥 개념 테크트리가 낫나요?? 진도는 좀 빠르게 나가고 싶어요,0
수시 정시 조언부탁요,https://cafe.naver.com/f-e/cafes/10197921/articles/28880670?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,고2 학부모입니다.그동안 딩가 딩가 놀다가 이제 눈이 반짝거리면서 해보려고 하는거 같은데요 2학년 중간기말 성적은 5.6등급 과학 수학 4 5등급 이정도니 아이는 지금부터 죽어라 하겠다고 하는데 주위 학원선생님들 친구들이 너무 빨리 결정했다고 비웃는건지^^ 그런 분위기인가봐요서울 지인들은 정시 수도권 지인들은 수시 절대로 버리지말라고하고 아들은 정시로 굳힌거 같은데 이게맞은까요고민이 많이 되네요~조언부탁드립니다,6
시대인재 라이브,https://cafe.naver.com/f-e/cafes/10197921/articles/28880588?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,지금까지 현우진으로 공부해 왔고 6모에는 백분위 98받았습니다근데 재수하며 혼자 공부하던 아들이 앞으로 뭘해야할지 모르겠다고 하네요 ㅠㅠ그래서 시대인재 라이브 김현우선생님 미적 선택하려는데요공통도 들어야할까요?공통은 어떤 선생님을 추천하시나요?,6
"같은 과탐 1,2 지원 안되는 인서울 대학교 뭐있나요?",https://cafe.naver.com/f-e/cafes/10197921/articles/28880444?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"정시인데요, 물리 1 물리2 하고싶은데 제한하는 학교가 뭐가 있는지 궁금합니다",6
딱 1문제만 틀렸는데 백분위 93은 진짜 지랄ㅋㅋㅋ,https://cafe.naver.com/f-e/cafes/10197921/articles/28880275?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,어..? 이왜진..?,6
마더텅 자이스토리 추천,https://cafe.naver.com/f-e/cafes/10197921/articles/28880247?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,마더텅이랑 자이스토리랑 뭐가 다른건가요..??둘다 기출문제 수록되어있는거 아닌가요..주변사람들이 과탐은 자이 추천해주던데 수학은 자이랑 마더텅중에 뭘 풀어야할지 추천 부탁드려요,6
수능 수학 문제집 추천 해주세요 고난도,https://cafe.naver.com/f-e/cafes/10197921/articles/28880232?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,개념원리/수학의 바이블어삼쉬사한완기/ 너기출수특/수완딱 이렇게만 했고 오답률은 거의 없는데이 다음부터 문제지 추천 부탁드립니다,6
음대 가는 이유?,https://cafe.naver.com/f-e/cafes/10197921/articles/28880216?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,무시하는 의도는 아니니 오해안해주셨으면 좋겠습니다ㅠㅠ유튜브 보니 어릴때부터 어머니까지 붙어서 엄청힘들게 쌤 붙이고 하면서 천문학적인 돈과 노력이 들어가더라구요근데 지방 오케 급여 수준이 150이렇다고 하던데 음대는 어떤 장점이 있어서 가는건가요??​,6
미적가산을 버리고 확통을 하는게 맞을까요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28880196?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"정시로 가려는 대학이 미적하면 가산 3퍼를 준다고 해서 계산을 해봤는데요 ​확통을 다맞는게 미적 4점 3개 틀리는거랑 같은걸로 나오는데 확통을 하는게 맞는 선택일까요? 6모에서 미적응시해서 어려운 어려운 3점 , 4점 3개 틀렸어요",6
6모 대학,https://cafe.naver.com/f-e/cafes/10197921/articles/28880060?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,화작 미적 화1 지1이고​국수영탐탐순으로​122/85/3133/98/1163/86/374/100/1​인데 이정도면 어느대학가나요?,6
공통1 미적2 88,https://cafe.naver.com/f-e/cafes/10197921/articles/28880038?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,백분위 97인가요 98인가요/,6
언어와 매체는 2028수능 고1은 하지 않는가요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28880027?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,언어와 매체가 문법파트인가요?현 화작.언매 모두 2028수능엔 포괄적으로 모두 다 공부해야 하는 개념인가요2028수능 보는 고1의 언매 부분의 중요도는 현재 수능과 같은지 궁금합니다,6
과탐2,https://cafe.naver.com/f-e/cafes/10197921/articles/28880007?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,26년도 입시에 2과목 가산대학은 25년과 동일한가요.과탐2과목 표점은 대체로 어떤가요.,6
내신 3.3 이고 모고 성적 대비 정시 가능성 여쭤보고 싶습니다,https://cafe.naver.com/f-e/cafes/10197921/articles/28879943?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"현역 고3이고 내신은 3학년 1학기 기말고사까지 3.3정도 마무리 될것 같습니다​현재 고3 모의고사 성적은3모 언매 높2 미적 낮1 영어 3 화학1 3 생명 45모 언매 높2 미적 높2 영어 3 사문3 생명 46모 언매 높2 미적 낮2 영어 1 사문4 생명 4​이러면 수시로 가는것이 나을까요? 아님 지금부터 정시로 하는것이 나을까요?생명, 화학쪽으로 인서울 하고 싶거든요",6
미적 62/8 몇 등급일까요....,https://cafe.naver.com/f-e/cafes/10197921/articles/28879885?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,크럭스 기준 1점 차이로 4뜨던데.... 젭알ㅠ.ㅠ,6
서울대 정시 내신 반영,https://cafe.naver.com/f-e/cafes/10197921/articles/28879625?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,갓반고 2점대 후반이면 불리한가요?,6
수학 n제 구성,https://cafe.naver.com/f-e/cafes/10197921/articles/28879421?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,설맞이랑 샤인미 n제 문제 배치 방식이 어떻게되나요?이해원 n제 처럼 day별로 모든 단원 고루 섞여서 나오나요 아니면 그냥 단원별로 나눠져있나요​,6
부모님한테 서운함...,https://cafe.naver.com/f-e/cafes/10197921/articles/28879294?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"부모님한테 요즘 그냥 좀 불안한 마음이 든다.. 라고 한마디 털어놓으면 아빠는 나는 너 확신가지고 열심히 하는 것 보고 싶은데 왜 불안한 소리하냐... 라고 하시고엄마는 그냥 해보고 안 되면 마는 거지 뭘 걱정하냐 ... 하시네요.. ​그냥 응원의 한마디? 같은 거 듣고 싶었는데여기서 서운함 느끼면 제가 이상한 건가요...아님 이것도 약간 MBTI T,F 차이?인 걸로 받아들여야 할까요.... //",8
썸머스쿨 방학이랑 날짜 안맞으면 어찌 하면 좋을까요,https://cafe.naver.com/f-e/cafes/10197921/articles/28879292?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,고2 아이가 정시로 마음먹고 처음 강하 의대관으로 썸머 가보려고 하는데요..학교 방학이랑 1주 차이가 나서.. 고민이네요썸머나 윈터 갈때 날짜 안맞으면 보통 어떻게 하시는지 조언 구해봅니다...,6
생명과학 1 질문입니다…,https://cafe.naver.com/f-e/cafes/10197921/articles/28879266?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"비특이적 방어작용에서는 식균작용으로 병원체를 제거 하잖아요​근데 생명과학 쌤이 필기해준 내용 보면 감염초기 병원체를 제거하는 것이 아닌 확산을 막는다고 되어있는데,문제 선지에서 어떻게 판단해야할까요?",8
고2 수시 정시,https://cafe.naver.com/f-e/cafes/10197921/articles/28879114?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,고2인데 내신이 원하는만큼 안 나올 거 같아서 고민입다 그래도 연대 교과 안정 합격선의 내신이라서 내신을 포기하진 않을 건데요 저는 인원 적은 일반고 내신 경쟁이 그냥 너무 싫습니다..ㅎㅎ 비록 고2 모의고사이긴 하지만.. 모고는 제가 전교 1등인데 내신이 1등이 아닌 상황이거든요 현역 정시에서는 정말 희망이 없을까요? ㅜㅜ 국어는 백분위 항상 99 넘고요 수학만 좀 더 잡으면 됩니다.. ㅜㅜ,8
고2 검정고시 치대 포텐 있나요,https://cafe.naver.com/f-e/cafes/10197921/articles/28879095?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"11월 자퇴하고 12월부터 정시공부 시작해서 나온 이번 6모 성적입니다고1 학평은 다 1등급이였는데확실히 평가원은 쉽지 않네요,,이번에 기하런, 지구사문으로 탐구도 갈아끼웠는데 이정도 점수대면 수능날 치대포텐 있나요?",6
화학 1 수능 대비,https://cafe.naver.com/f-e/cafes/10197921/articles/28879053?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"화학 1으로 수능을 치는 학생이 있는데요, 현재 자이스토리와 수능특강은 다 풀었고 수능완성은 문제 푸는 감 잃지 않는 대비로 풀고 있습니다. 사실 웬만한 문제는 다 풀 수 있어서 준킬러 및 킬러파트에서의 시간 조절이 문제인데 새 문제집 추천 부탁드립니다!",6
지금 시즌에 그린램프 관리반 만석이면,https://cafe.naver.com/f-e/cafes/10197921/articles/28878825?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,대기 여름방학전까지 안 빠지겠죠?,0
근데 님들은 부모님이 입시에 관심 많으셔요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28878822?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,울 집이 특이한건가 부모님이 입시에 관심도 없고 나한테 욕심도 없고 어휴,6
현역인데 관리형 독서실 ㅊㅊ좀,https://cafe.naver.com/f-e/cafes/10197921/articles/28878821?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,주변에 그린램프 있는데 관리반 다 차서 다른 곳 알아보는중 ㅠ,6
작년 여름방학동안 영어 등급 올리신 분 있나요,https://cafe.naver.com/f-e/cafes/10197921/articles/28878674?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,현 고3이고 3합까지 최저 맞춰야 되는데제가 영어 공부를 한 적이 없어서요그래서 듣기풀고 쉬운 거 몇 개정도만 푼 뒤에 나머지15문제 정도 다 찍어서 잘찍으면 3 듣기틀리거나 못찍으면 5 나오는데 영어 공부 어떻게 하셨는지 궁금해요,6
반수로 국장 횟수 차감되면 4학년 2학기는..,https://cafe.naver.com/f-e/cafes/10197921/articles/28878646?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,학교 자체 장학금도 못 받나요?가능하다면 학교 자체 장학금으로 국장만큼 메꾸는게 되나요?,6
수능수학강의추천,https://cafe.naver.com/f-e/cafes/10197921/articles/28878635?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,기말끝나면 수학학원 끊고 혼자하려고합니다수능수학 인강들을만한거나 교재추천 부탁드려요~​,6
군대에서 공부 중(언미물지) 현 상황 질문입니다.,https://cafe.naver.com/f-e/cafes/10197921/articles/28878586?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"​현역 수능 때 11343(언매, 기하, 영어, 화1, 생2) 맞고 성적 맞춰 학교왔으나 과에 대한 회의감에 군대에서 다시 공부를 시작하였습니다. 3년전에 본 시험이고, 탐구는 다시 개념을 잡는데에 많은 시간이 걸렸지만, 잘 극복 후 앞으로 어떤 방향으로 공부를 해야할지 고민입니다. 아무래도 독학이다 보니 궁금증을 해소할 수 없어 질문 남겨봅니다. 전역은 9월 초입니다.​6평 점수 22222​국어 : 김동욱T듣다가 공부방법만 배운 후 하루 1시간씩 투자 중. 매3비와 강E분 하는 중이며, 언매는 개념 및 기출 풀고 n제 들어가려고 함.​드립다 문제만 풀고 있지만 방향성이 가장 잡히지 않은 과목 1위.​6평 때는 가,나형 지문 제외 다 풀었고, 가,나형 지문은 발췌독으로 풀어 1문제 빼고 다 풀었음. 독서 1문제(못 푼 문제), 언어 1문제, 매체 2문제 틀림​수학 : 현역 때부터 자신있었지만 과목 바꾸고 난항 격는 중. 현재 뉴런 수1,수2,미적 완강하였고, 수1,2는 대충 감이 있고 예전에 기출 풀어봤기에 지금은 미적 마더텅 드립다 푸는 중. 공부시간은 하루평균 2시간반~3시간​6평 때는 80점 받음. 수2 한문제 계산, 22번 못 풂, 28, 30번 못 풀었고, 29번은 시간 배분 실패 건들이지 못함​영어 : 가장 자신 없는 과목. 현역 때 쭉 3등급 받다가 군대와서 매일 1시간씩 3지문 뜯어보기하는 중. 기출프리미엄, 수특, 수기출 문법편 다 풀고 현재는 수특간접연계 푸는 중.​모의고사 전 문항 다 푼적이 없음. 현역때는 4~5문제, 현재는 2~3문제 날림. 다들 영어는 다 안 읽는 거라고 하던데 방법을 몰라서 처음부터 끝까지 다 읽음.​물리 : EBS 수능개념 후 마더텅 전문항, 이후 배기범(필수본VIP, 3순환, 역학의 기술, 비역학의 논리, 기범비급, 16+4 시즌1) 3순환은 3권 다 풀고 있고 역학의 기술과 비역학의 논리는 본권만 풀었음. 현재는 (기범비급 워크북 하루치, 3순환 모의고사 1회, 16+4트레이닝) 이렇게 진행 중임.​사실 이건 모의고사를 많이 안 풀어보긴 했는데, 6평 때는 한 문제를 이상하게 잡아서 발 묶여서 시간 부족했고, 16+4는 15분, 15분 잡고 푸는데 시간 안에 들어오기가 너무 힘듦. 배기범 모의고사 collection 구매할까 생각 중. ​지구 : 개념 돌리고 마더텅 전문항 풀고, 오지훈(step1,2,3) 완강함. 베이직 모의고사 2,3 거의 다 풀었고 이제 step4 기다리는 중. ​OZ모의고사들이 지엽적인 건지 내가 개념이 너무 많이 구멍난 건지, 베이직 모의고사에서 뒷부분(소위 킬러로 나오는 부분)은 다 맞추는데 이상하게 앞쪽에서 2~3개씩 나감. ​현 상황-평일은 5시간정도 확보 가능하고 국어 1시간, 영어 1시간, (월화수목금)-(수물수지수) 순서로 나머지 할애 중.-주말은 쭉 공부만 해서 전과목 다 돌림​​​전반적으로 지금하고 있는 공부가 맞는 방향인지, 틀렸다면 어떻게 고쳐야할지, 어떤 방식이 효율적인지를 모르겠음. 사실 공부 손 놓다가 고3 때 오로지 EBS로 독학만 해봤고, 학원 및 사교육 경험도 전무해서 길잡이가 없었음. 학교도 특성상 공부가 메인이 아니라 진짜 혼자했음.​그래서 또 혼자 낑낑대다가 여기 찾고 답을 찾을 수 있을까해서 써봤어요. 멋쟁이 형들의 매콤한 코칭 기대할게요",6
현역 고2인데 탐구 방향성,https://cafe.naver.com/f-e/cafes/10197921/articles/28878584?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"원래 화생이였는데일단 생명은 이미 유전만하면 끝나는 상태라서 유지할거고근데 화학 고3거 풀어보니까 정신병 걸릴거같아서지구과학1 이나 사회문화로 탐구 선택하려고 하는데 뭐 선택하는게 좋을까요? 현재 국수 백분위 99,98이고 영어는 1등급 받는중입니다!​",6
최저 과목,https://cafe.naver.com/f-e/cafes/10197921/articles/28878549?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"3모 국 74 수 41 생 39 등급 2435모 국 77 수 47 생 23 등급 4456모 국 82 수 46 생 35 등급 354(영어는 60 55 71 나왔습니다. 6모가 매우 쉽게 나왔어요그냥 영어 자체에 흥미가 크지않아 최대한 다른 과목으로 맞추고 싶습니다ㅠ)​최저는 2합5 또는 수학 포함 2합6을 맞춰야하는 전형으로 넣을 것 같아요.차라리 수학을 버리고 2합5를 맞추는게 나을까요?​고12때 부터 국어 등급의 변동이 큰 편이라국어로 맞춘다는게 부담이 있는데그래도 국어로 맞추는게 나을까요?​아니면 3과목 다 끝까지 끌고 가는게 나을까요?​내신에만 집중해서 최저 공부라곤 생명, 수1 개념 한바퀴씩 돌리고생명 기출만 조금 풀었습니다.​최저를 어떤 과목으로 맞춰야할지어떻게 해나가야할지 모르겠어요.자유롭게 의견 조금만 남겨주세요!!ㅠ",6
미적분 공부하면 수2 실력도 는다고 생각하시나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/28878487?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,어떻게 생각하시나요?!,6
경우의 수 문제입니다.,https://cafe.naver.com/f-e/cafes/10197921/articles/28878311?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,학교 기출문제인데 제가 문제 이해를 못하는건지 ㅠㅠ 답은 1번입니다!,6
중 3인데 고 2 모고 어느정도 되어야 의치한수 갈수 있을까요'?,https://cafe.naver.com/f-e/cafes/10197921/articles/28878245?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"중3 입니다.시간 맞춰 고 2 모고 (6모정도 )치면수학, 국어 5개 정도영어 1등급 나옵니다.국어는 시간이 부족할 때가 가끔 있지만 다른 과목은 시간이 부족하지 않다고 합니다.수준이 지방 의치한수 갈 수 있는 정도 인가요?​지금 과학고 원서를 내어보느냐 (지금은 과고 대비 학원을 다니고 있지 않지만 7월부터 준비할 예정입니다)자사고를 가서 의대 도전 해보느냐 고민중입니다.​아이는 공대든 의대든 갈 수 있다면 다 좋답니다올라운더라 국어 영어 학원샘은 무조건 의대수학과학샘은 무조건 과고 ㅠ​이런 상황입니다. ​​",6
지금 상황에서 재수생 국어 공부 방향을 어떻게 잡을까요.,https://cafe.naver.com/f-e/cafes/10197921/articles/28878149?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"6모 화작 원점수87 문학0틀 25분, 화작1틀 21~22분, 독서 4틀 나머지시간화문독 순서인데 화작에서 원래대로라면 13분~늦어도 15분안에는 다 풀고 넘어갔어야 했는데 뜻대로 이루어지지 않았습니다. 화작 공부도 안 하고 있었는데 상상N제를 구매하여 병행하는 중입니다.​문학보단 현 상황에서 독서에 많이 문제가 있는 것 같습니다. TIM 마무리하고 복습을 다 하면 이르면 다음주 말 늦으면 다다음주면 끝날 듯 한데 앱스키마를 하는게 맞는걸까요 아니면 제 혼자 기출을 회독하는게 맞는걸까요?​수능 목표 백분위 높3~낮2는 받고싶습니다.",6
미적 수능대비 인강,https://cafe.naver.com/f-e/cafes/10197921/articles/28878142?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,수학 모고 미적분으로 낮은 2등급 높은 3등급 나오는데 혼자 인강들으면서 수능 공부하려면 뭘 해야하나요..ㅜ 이제껏 학원만 다녀봐서 뭐부터 해야할지 모르겠어요 인강은 현우진 들을 생각입니다,6
고3 이제 수능 공부 시작 뭐해야함?,https://cafe.naver.com/f-e/cafes/10197921/articles/28878140?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,"고3입니다.최저 맞추려고 이제 수능 공부 시작하는데수능 공부 뭐해야할 지 모르겠습니다아예 수능 공부를 해본 적 없고6모 기준으로 국영수한물1물2 123144 나왔습니다.궁금한 점으로는 기출의 중요성을 다들 강조하던데, 기출을 꼭 풀어야 하는가? 수학, 물리 등은 이해가 되는데 국어나 영어에서 기출의 중요성이 잘 이해가 가지 않습니다. 특히 국어같은 경우 비문학 지문이 연계가 되는건가요? 어떤 부분에서 기출을 강조하는 것인지 모르겠습니다또 수능까지 얼마 남지 않은 기간 동안 효율적으로 무엇을 공부해야할 지 잘 모르겠습니다. 고대 최저 3합 7 맞추려고 하는데 학교에서 수능 공부하는 자습시간 같은 것을 아예 안 주고 2학기 때에도 수능과는 전혀 관련없는 수업을 나가기에(전과목 다...) 하루 4시간 정도의 공부 시간 밖에 없는데(특강도 들어야 해서) 어떻게 공부하는 것이 효율적인지 모르겠습니다.도움 주시면 감사하겠습니다",6
지구 현강 박선 t 엄영대 t,https://cafe.naver.com/f-e/cafes/10197921/articles/28878136?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=38,박선쌤 현강 듣다가 뭔가 좀 루즈한 거 같아서 현강은 그만 다니고 박선쌤 인강으로 쭉 커리 탔어요!(박선쌤 수업 완전 만족하면서 잘 들었습니다)이제 학원에서 실모 보는 연습을 하려하는데 박선쌤 현강을 다시 다닐지 아니면 새롭게 엄영대 쌤 실모반 수업을 들을지 고민되네요....혹시 엄영대쌤 수업 스타일은 어떤가요..? 맛보기 영상만 봤을 땐 잘 모르겠더라구요ㅠㅠ,8
정시 21322,https://cafe.naver.com/f-e/cafes/10197921/articles/28878112?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=39,국영수탐탐 21322​​사탐 기준 이정도면 중경외시라인 가능한가요ㅜ,6
수특 ebs 독서 분석하면서 공부해야할까요???,https://cafe.naver.com/f-e/cafes/10197921/articles/28878107?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=39,고12때는 1등급이 나왔었는데 고3올라오니 313으로 변동이심해요 ㅠㅠ 수특 독서도 따로 이 시점에서 인강 들으면서 분석해야할까요?? 인강을 듣자니 ebs들으려고 하니까 전문항은 강의수가 너무 많고 ㅠㅠ 그렇다고 요약을 듣자니 어떻게 해야할지 모르겠어요 ㅠㅠ 조언부탁드립니다,6
